video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=w6jz9vpdymA&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@ordinaryincome3127,OrdinaryIncome,Starbucks Price Increase Explained,14,1 year,"Starbucks announced they are going to raise their prices, but why are they doing this and what does it have to do with you (the ...",2024-01-26 19:44:03.853202
/watch?v=X4KCyRbMiw4&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@Foxla,FOX 11 Los Angeles,Could fast food prices rise in California? Companies debate as $20/hour minimum wage nears,5.5K,2 months,A new $20/hour minimum wage for California fast food workers goes into effect in April 2024. The move has some fast food ...,2024-01-26 19:44:03.855626
/watch?v=SWoqPamDxB8&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@kcalnews,KCAL News,Feds want Starbucks to reopen 6 closed stores in LA County,2.1K,1 month,KCAL News reporter Kara Finnstrom has the latest on why Starbucks could be forced to reopen six Los Angeles County locations ...,2024-01-26 19:44:03.864842
/watch?v=MuE1zg7G6Ao&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Feds say Starbucks illegally closed 6 L.A. area stores,9.5K,1 month,Six Los Angeles County Starbucks stores may soon reopen after the National Labor Relations Board said the coffee franchise ...,2024-01-26 19:44:03.867947
/watch?v=IwSDInTaM_8&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@fox4nownews,FOX 4 Now,Starbucks raising prices,113,7 years,It's going to cost more for your cold drink and muffin at Starbucks. The coffee chain says prices for certain cold drinks and baked ...,2024-01-26 19:44:03.875420
/watch?v=pNZXv0Wy9Dc&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CBSEveningNews,CBS Evening News,"Flurry of minimum wage hikes could bring unintended consequences, economists warn",170K,3 weeks,"Twenty-five states and dozens of U.S. cities are planning minimum wage increases in 2024, including California, which will boost ...",2024-01-26 19:44:03.881878
/watch?v=t8idIYPEf0M&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Starbucks to close 6 ‘high-incident’ locations in Los Angeles,16K,1 year,"This video aired on the KTLA 5 News at 6 on July 12, 2022. » Subscribe to KTLA: ...",2024-01-26 19:44:03.893996
/watch?v=N8GOZYuLZLg&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@Foxla,FOX 11 Los Angeles,Starbucks offers BOGO on seasonal beverages,436,4 months,Starbucks 'Thurs Yays' will get you BOGO free fall drinks every Thursday in September. Subscribe to FOX 11 on YouTube: ...,2024-01-26 19:44:03.897476
/watch?v=A6SjGpmReok&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@KTLA5,KTLA 5,Starbucks to start selling coffee infused with olive oil in Southern California,5.9K,11 months,"Get Los Angeles breaking news, entertainment, weather, traffic and sports from L.A.'s Very Own, KTLA 5 News. Keeping Southern ...",2024-01-26 19:44:03.906823
/watch?v=VCP7R_KW4_E&pp=ygUoc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBsb3MgYW5nZWxlcw%3D%3D,/@CNN,CNN,THE PRICE OF STARBUCKS AROUND THE WORLD,4.9K,7 years,"CNN reporters look at the different prices of a Starbucks latte around the world. To License This Clip, Click Here: ...",2024-01-26 19:44:03.909627
