video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/_w92_vy9ppI,/@Jagritikhuranalife,Jagriti Khurana Life,Don’t use STARBUCKS cups😅| khuranajunction,15M,1 year,I went with my own cup at starbucks.,2024-01-26 19:31:42.550129
/watch?v=m3D0ECvdmug&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@brittmbennett,BrittM,Starbucks Price Increase,22,7 years,One of my Snapchat assignments for USA Today was to cover the Starbucks price increase. The following story was a challenge ...,2024-01-26 19:31:42.555376
/shorts/d-i-LkH1nJg,/@magentamedia,Magenta Media,Starbucks might get SUED by JAMES CHARLES?,2.3M,7 months,Starbucks might get SUED by JAMES CHARLES? #jamescharles #celebrity #starbucks #pinkdrink.,2024-01-26 19:31:42.557877
/watch?v=MS02KXxsfOI&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CNBCtelevision,CNBC Television,Amazon teams up with Starbucks for cashier-less pickup cafe,5.2K,2 years,Starbucks is opening a pick-up cafe in midtown Manhattan with Amazon that uses the retail giant's cashierless technology to ...,2024-01-26 19:31:42.564011
/watch?v=1-OJX1rwnl8&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@wsj,The Wall Street Journal,Why Starbucks Operates Like a Bank | WSJ The Economics Of,2.3M,2 years,"Starbucks, the $124.4 billion global coffee giant, trails only McDonald's as the largest restaurant chain by market capitalization.",2024-01-26 19:31:42.567997
/shorts/HC2ZiwY6eGM,/@Starbuckswithqvise,StarbuckswithQvise,Top 10 Starbucks drinks #starbucks,514K,1 year,Button Starbucks drinks 10 strawberry refresher nine chai latte eight Tick Tock pink drink Seven caramel frappuccino six iced ...,2024-01-26 19:31:42.571154
/shorts/inggiZsrY84,/@tiktokdrinks6830,TikTok Drinks,THE BEST Starbucks Drinks tiktok #shorts,2.6M,2 years,THE BEST Starbucks Drinks tiktok #shorts #starbucks #drinks.,2024-01-26 19:31:42.574328
/watch?v=oibKz8bibq0&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@ninamayberry,Unbreakable Strong Women Nina,"Shirley strawberry husband  Enesto, women￼ speaking out,& more Hollywood talk w/ Nina!",6.3K,Streamed 12 hours,"Shirley strawberry, Steve Harvey Enesto prison calls, and Enesto victims are now speaking out.",2024-01-26 19:31:52.343981
/watch?v=0x-ivn63LN0&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@urdesignmagazine,urdesign,Starbucks Reserve Roastery New York,33K,5 years,Starbucks Reserve Roastery New York has opened its doors in Downtown Manhattan. Read more on urdesign: ...,2024-01-26 19:31:52.347001
/watch?v=_VK5E-Pen0w&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@Firstpost,Firstpost,Starbucks Loses $11 Billion Due to Poor Sales & Boycotts over Israel War| Vantage with Palki Sharma,856K,1 month,Starbucks Loses $11 Billion Due to Poor Sales & Boycotts over Israel War | Vantage with Palki Sharma Global political tensions ...,2024-01-26 19:31:52.349991
/shorts/vvZLekIYScM,/@vlogwithriysha,Vlog With Riysha,Rs 200 Food Challenge Series | Day 2- StarBucks | #shorts #foodshorts #youtubeshorts,129K,1 year,Vlog With Riysha || @Vlog With Riysha Hey Foodies!! StarBucks 200rs Challenge Java Chip Frappuccino Double Chocolate Chip ...,2024-01-26 19:31:52.354532
/watch?v=cgjyEC0mpbA&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@WPLGLocal10,WPLG Local 10,Starbucks raising prices as much as $0.30 per drink,4,5 years,"Starbucks prices are going up and for the first time, the Olympics has an official insect repellent.",2024-01-26 19:31:52.357620
/shorts/JJNyfJSf6I4,/@foodieonvacay,Foodie on Vacay,Let’s go to Starbucks Reserve Roastery in NYC!,8.1K,1 year,"CHECK OUT THE COOLEST STARBUCKS EVER ☕️ Welcome to Starbucks Reserve Roastery, this is a unique Starbucks ...",2024-01-26 19:31:52.360898
/shorts/O4h93Y07OFg,/@TyKix,Ty Kix,Unique Starbucks Coffee & Cake in New York,210,2 months,Not to be missed if you love coffee and cake in New York come with me to Starbucks Reserve Roastery right next door to Chelsea ...,2024-01-26 19:31:52.367044
/shorts/aLKO_PzlgO4,/channel/UCAynUBIkB7gX10An54eEt4A,The News with Kamera Jr.,Why Starbucks doesn’t have a Small Size,7.4M,7 months,"Subscribe for more ❤️ Check out Max Klymenko's channel, he's super cool ❤️ #starbucks #coffee #unitedstates ...",2024-01-26 19:31:52.370246
/watch?v=QJK0jLvX-5I&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@WashingtonPost,Washington Post,Starbucks's seven dollar coffee: Worth the price?,3K,11 years,Food writer Tim Carman stops by to break down the perfect coffee roast and tell us why Starbucks's new $7 coffee offering is so ...,2024-01-26 19:31:52.374221
/shorts/f8LdHRT6K74,/@maxklymenko,Max Klymenko,I ordered the most expensive Starbucks drink ever ☕️ #shorts,6.3M,1 year,shorts #starbucks.,2024-01-26 19:31:52.381734
/watch?v=0rc80k8ov8g&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@wgntv,WGN News,Starbucks increases US hourly wages and adds other benefits for non-union workers,1.1K,2 months,Starbucks is increasing pay and benefits for most of its U.S. hourly workers after ending its fiscal year with record sales. READ ...,2024-01-26 19:31:52.384932
/watch?v=MUpzfFoXlmY&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@local12WKRC,LOCAL 12,Starbucks to raise prices this week,25,9 years,"CINCINNATI (WKRC) -- Starbucks is set to raise its prices beginning Tuesday. Across the board, the average price increase will ...",2024-01-26 19:31:52.388242
/watch?v=JzrWUPuiaCY&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSNews,CBS News,Watch: Starbucks customer confronts employee for stealing credit card info,36M,8 years,A woman figures out a Starbucks employee stole her credit card information and then confronts her at the drive thru. CBSN's ...,2024-01-26 19:31:52.391268
/shorts/hUkf8-2Ru9M,/@AnishaDixitShorts,Anisha Dixit Shorts,How to Look Important in Starbucks | Anisha Dixit Shorts | #shorts,4.2M,10 months,Enjoy Karo aur LIKE & SHARE Karo Yaaaarrr! ❤️ #anishadixitshorts #Funny #Comedy #Anishadixit → Follow me on ...,2024-01-26 19:31:52.394253
/watch?v=w1KFiCYdZYo&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@tylerpaper,Tyler Morning Telegraph,Starbucks price increases go into effect,24,9 years,"Tyler Paper / CBS 19 9:30 a.m. video news update for June 24, 2014.",2024-01-26 19:31:52.396931
/shorts/g-GskwW_ins,/@AnishaDixitShorts,Anisha Dixit Shorts,When You Buy a Starbucks Coffee in a Mall | Anisha Dixit Shorts,12M,1 year,Enjoy Karo aur LIKE & SHARE Karo Yaaaarrr! ❤️ #anishadixitshorts #Funny #Comedy #Anishadixit #Starbucks → Follow me ...,2024-01-26 19:31:52.400008
/watch?v=13jhFFYCWVU&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@littlelovejazz,Little Love Jazz,"New York Starbucks Cafe Ambience - Instrumental Jazz Music Inspired by Starbucks for Work, Studying",3.2M,2 years,Good Morning Coffee Jazz Music : shorturl.at/loyEK ☕ Discover the Little Love Jazz greatest hits ! ♫ Little Love Jazz is your ...,2024-01-26 19:31:52.403048
/watch?v=Fq2fd8paFKc&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@MariaMarmora,Maria Marmora,visiting the Starbucks Reserve Roastery in NYC | relaxing | people watching,2.7K,7 months,Not your average Starbucks! Add this to your bucket list to get exclusive Starbucks food & drink items. This place is is larger than ...,2024-01-26 19:31:52.406111
